State,EV-Jackson,EV-Adams,EV,EV,Jackson,Adams,Clay,Crawfo.,Other
Alabama,5,0,0,0,9429,2422,96,1656,0
Connecticut,0,8,0,0,0,7494,0,1965,1188
Delaware,0,1,2,0,0,0,0,0,0
Georgia,0,0,9,0,0,0,0,0,0
Illinois,2,1,0,0,1272,1516,1036,847,0
Indiana,5,0,0,0,7343,3095,5315,0,0
Kentucky,0,0,0,14,6356,0,16982,0,0
Louisiana,3,2,0,0,0,0,0,0,0
Maine,0,9,0,0,0,10289,0,2336,0
Maryland,7,3,1,0,14523,14632,695,3364,0
Massachusetts,0,15,0,0,0,30687,0,0,11369
Mississippi,3,0,0,0,3121,1654,0,119,0
Missouri,0,0,0,3,1166,159,2042,32,33
New Hampshire,0,8,0,0,0,9389,0,643,0
New Jersey,8,0,0,0,10332,8309,0,1196,0
New York,1,26,5,4,0,0,0,0,0
North Carolina,15,0,0,0,20231,0,0,15622,256
Ohio,0,0,0,16,18489,12280,19255,0,0
Pennsylvania,28,0,0,0,35929,5436,1705,4182,0
Rhode Island,0,4,0,0,0,2145,0,200,0
South Carolina,11,0,0,0,0,0,0,0,0
Tennessee,11,0,0,0,20197,216,0,312,0
Vermont,0,7,0,0,0,0,0,0,0
Virginia,0,0,24,0,2975,3419,419,8558,0
