State,EV-Jackson,EV-Adams,Jackson,Adams,Other
Alabama,5,0,16736,1878,4
Connecticut,0,8,4448,13829,1101
Delaware,0,3,0,0,0
Georgia,9,0,19362,642,0
Illinois,3,0,9560,4662,0
Indiana,5,0,22257,17052,0
Kentucky,14,0,39308,31468,0
Louisiana,5,0,4605,4082,0
Maine,1,8,13927,20773,89
Maryland,5,6,22782,23014,0
Massachusetts,0,15,6012,29836,3226
Mississippi,3,0,6763,1581,0
Missouri,3,0,8232,3422,0
New Hampshire,0,8,20212,23823,0
New Jersey,0,8,21809,23753,8
New York,20,16,139412,131563,0
North Carolina,15,0,37814,13918,15
Ohio,16,0,67597,63396,0
Pennsylvania,28,0,101652,50848,0
Rhode Island,0,4,821,2754,0
South Carolina,11,0,0,0,0
Tennessee,11,0,44293,2240,0
Vermont,0,7,8350,25363,0
Virginia,24,0,26854,12070,0
