State,EV-Jackson,EV-Clay,EV,EV,Jackson,Clay,Wirt,Other
Alabama,7,0,0,0,14286,5,0,0
Connecticut,0,8,0,0,11269,18155,3409,0
Delaware,0,3,0,0,4110,4276,0,0
Georgia,11,0,0,0,20750,0,0,0
Illinois,5,0,0,0,14609,6745,97,30
Indiana,9,0,0,0,31551,15472,0,0
Kentucky,0,15,0,0,36292,43449,0,0
Louisiana,5,0,0,0,3908,2429,0,0
Maine,10,0,0,0,33978,27331,844,0
Maryland,3,5,0,0,19156,19160,0,0
Massachusetts,0,14,0,0,13933,31963,14692,7031
Mississippi,4,0,0,0,5750,0,0,0
Missouri,4,0,0,0,5192,0,0,0
New Hampshire,7,0,0,0,24855,18938,0,0
New Jersey,8,0,0,0,23826,23466,468,0
New York,42,0,0,0,168497,154896,0,0
North Carolina,15,0,0,0,25261,4538,0,0
Ohio,21,0,0,0,81246,76539,509,0
Pennsylvania,30,0,0,0,91949,0,66689,0
Rhode Island,0,4,0,0,2126,2810,0,0
Tennessee,15,0,0,0,28078,1347,0,0
Vermont,0,0,0,7,7870,11152,13106,0
Virginia,23,0,0,0,34243,11436,3,0
