State,EV-Van Bu.,EV-Harris.,EV,EV,EV,Van Bu.,Harris.,White,Webster,Other
Alabama,7,0,0,0,0,20638,0,16658,0,0
Arkansas,3,0,0,0,0,2380,0,1334,0,0
Connecticut,8,0,0,0,0,19294,18799,0,0,0
Delaware,0,3,0,0,0,4154,4736,0,0,5
Georgia,0,0,11,0,0,22778,0,24481,0,0
Illinois,5,0,0,0,0,18369,15220,0,0,0
Indiana,0,9,0,0,0,32478,41281,0,0,0
Kentucky,0,15,0,0,0,33229,36861,0,0,0
Louisiana,5,0,0,0,0,3842,0,3583,0,0
Maine,10,0,0,0,0,22825,14803,0,0,1112
Maryland,0,10,0,0,0,22267,25852,0,0,0
Massachusetts,0,0,0,14,0,33486,0,0,41201,45
Michigan,3,0,0,0,0,7122,5545,0,0,0
Mississippi,4,0,0,0,0,10297,0,9782,0,0
Missouri,4,0,0,0,0,10995,0,7337,0,0
New Hampshire,7,0,0,0,0,18697,6228,0,0,0
New Jersey,0,8,0,0,0,25592,26137,0,0,0
New York,42,0,0,0,0,166795,138548,0,0,0
North Carolina,15,0,0,0,0,26631,0,23521,0,1
Ohio,0,21,0,0,0,96238,104958,0,0,1137
Pennsylvania,30,0,0,0,0,91457,87235,0,0,0
Rhode Island,4,0,0,0,0,2964,2710,0,0,0
Tennessee,0,0,15,0,0,26170,0,36027,0,0
Vermont,0,7,0,0,0,14037,20994,0,0,0
Virginia,23,0,0,0,0,30556,0,23384,0,5
