State,EV-Polk,EV-Clay,Polk,Clay,Birney,Other
Alabama,9,0,37401,26002,0,0
Arkansas,3,0,9546,5604,0,0
Connecticut,0,6,29841,32832,1943,0
Delaware,0,3,5970,6271,0,6
Georgia,10,0,44147,42100,0,0
Illinois,9,0,58795,45854,3469,939
Indiana,12,0,70181,67867,2106,0
Kentucky,0,12,51988,61249,0,0
Louisiana,6,0,13782,13083,0,0
Maine,9,0,45719,34378,4836,0
Maryland,0,8,32706,35984,0,0
Massachusetts,0,12,53039,67062,10830,1106
Michigan,5,0,27737,24375,3639,0
Mississippi,6,0,25846,19158,0,0
Missouri,7,0,41322,31200,0,0
New Hampshire,6,0,27160,17866,4161,0
New Jersey,0,7,37495,38318,131,0
New York,36,0,237588,232482,15812,0
North Carolina,0,11,39287,43232,0,2
Ohio,0,23,149061,155113,8050,0
Pennsylvania,26,0,167447,161125,3000,0
Rhode Island,0,4,4867,7322,107,0
Tennessee,0,13,59917,60040,0,0
Vermont,0,6,18049,26780,3970,30
Virginia,17,0,50679,44860,0,0
