State,EV-Pierce,EV-Scott,Pierce,Scott,Hale,Other
Alabama,9,0,26881,15061,0,2205
Arkansas,4,0,12173,7404,0,0
California,4,0,40721,35972,61,56
Connecticut,6,0,33249,30359,3161,12
Delaware,3,0,6318,6293,62,0
Florida,3,0,4318,2875,0,0
Georgia,10,0,40516,16660,0,5450
Illinois,11,0,80378,64733,9863,0
Indiana,13,0,95340,80901,6929,0
Iowa,4,0,17763,15856,1606,139
Kentucky,0,12,53949,57428,266,0
Louisiana,6,0,18647,17255,0,0
Maine,8,0,41609,32543,8030,0
Maryland,8,0,40022,35077,21,0
Massachusetts,0,13,44569,52683,28023,1828
Michigan,6,0,41842,33860,7237,0
Mississippi,7,0,26896,17558,0,0
Missouri,9,0,38817,29984,0,0
New Hampshire,5,0,28503,15486,6546,0
New Jersey,7,0,44305,38556,359,0
New York,35,0,262083,234882,25329,0
North Carolina,10,0,39788,39043,0,60
Ohio,23,0,168933,152523,31732,0
Pennsylvania,27,0,198562,179104,8495,1678
Rhode Island,4,0,8735,7626,644,0
Tennessee,0,12,56900,58586,0,0
Texas,4,0,13552,4995,0,0
Vermont,0,5,13044,22173,8621,52
Virginia,15,0,73872,58732,0,0
Wisconsin,5,0,33658,22210,8814,0
