State,EV-Buchan.,EV-Fremont,EV,Buchan.,Fremont,Fillmo.,Other
Alabama,9,0,0,46739,0,28552,0
Arkansas,4,0,0,21910,0,10732,0
California,4,0,0,53342,20704,36195,14
Connecticut,0,6,0,34997,42717,2615,0
Delaware,3,0,0,8004,310,6275,9
Florida,3,0,0,6358,0,4833,0
Georgia,10,0,0,56581,0,42439,0
Illinois,11,0,0,105528,96275,37531,0
Indiana,13,0,0,118670,94375,22386,0
Iowa,0,4,0,37568,45073,9669,0
Kentucky,12,0,0,74642,0,67416,0
Louisiana,6,0,0,22164,0,20709,0
Maine,0,8,0,39140,67279,3270,0
Maryland,0,0,8,39123,285,47452,0
Massachusetts,0,13,0,39244,108172,19626,3006
Michigan,0,6,0,52139,71762,1660,0
Mississippi,7,0,0,35456,0,24191,0
Missouri,9,0,0,57964,0,48522,0
New Hampshire,0,5,0,31891,37473,410,0
New Jersey,7,0,0,46943,28338,24115,0
New York,0,35,0,195878,276004,124604,0
North Carolina,10,0,0,48243,0,36720,0
Ohio,0,23,0,170874,187497,28126,0
Pennsylvania,27,0,0,230686,147286,82189,0
Rhode Island,0,4,0,6680,11467,1675,0
Tennessee,12,0,0,69704,0,63878,0
Texas,4,0,0,31169,0,15639,0
Vermont,0,5,0,10577,39561,545,65
Virginia,15,0,0,90083,0,60150,0
Wisconsin,0,5,0,52843,66090,579,0
