State,EV-Lincoln,EV-Douglas,EV,EV,Lincoln,Douglas,Brecki.,Bell,Other
Alabama,0,9,0,0,0,13618,48669,27835,0
Arkansas,0,4,0,0,0,5357,28732,20063,0
California,4,0,0,0,38733,37999,33969,9111,15
Connecticut,6,0,0,0,43486,17364,16558,3337,0
Delaware,0,3,0,0,3822,1066,7339,3888,0
Florida,0,3,0,0,0,223,8277,4801,0
Georgia,0,10,0,0,0,11581,52176,42960,0
Illinois,11,0,0,0,172171,160215,2331,4914,35
Indiana,13,0,0,0,139033,115509,12295,5306,0
Iowa,4,0,0,0,70302,55639,1035,1763,0
Kentucky,0,0,12,0,1364,25651,53143,66058,0
Louisiana,0,6,0,0,0,7625,22681,20204,0
Maine,8,0,0,0,62811,29693,6368,2046,0
Maryland,0,8,0,0,2294,5966,42482,41760,0
Massachusetts,13,0,0,0,106684,34370,6163,22331,328
Michigan,6,0,0,0,88450,64889,805,405,0
Minnesota,4,0,0,0,22069,11920,748,0,0
Mississippi,0,7,0,0,0,3282,40768,25045,0
Missouri,0,0,0,9,17028,58801,31362,58372,0
New Hampshire,5,0,0,0,37519,25887,2125,412,0
New Jersey,4,0,0,3,58346,62869,0,0,0
New York,35,0,0,0,362646,312510,0,0,0
North Carolina,0,10,0,0,0,2737,48846,45129,0
Ohio,23,0,0,0,221809,187421,11303,12193,136
Oregon,3,0,0,0,5344,4131,5074,212,0
Pennsylvania,27,0,0,0,268030,16765,178871,12776,0
Rhode Island,4,0,0,0,12244,7707,0,0,0
Tennessee,0,0,12,0,0,11281,65097,69728,0
Texas,0,4,0,0,0,0,47548,15438,0
Vermont,5,0,0,0,33808,8649,1866,217,26
Virginia,0,0,15,0,1887,16198,74325,74481,0
Wisconsin,5,0,0,0,86113,65021,888,161,0
