State,EV-Lincoln,EV-McClel.,Lincoln,McClel.,Other
California,5,0,62053,43837,0
Connecticut,6,0,44693,42288,0
Delaware,0,3,8155,8767,0
Illinois,16,0,189512,158724,0
Indiana,13,0,150422,130233,0
Iowa,8,0,88500,49525,0
Kansas,3,0,17089,3836,655
Kentucky,0,11,27787,64301,0
Maine,7,0,67805,46992,0
Maryland,7,0,40153,32739,0
Massachusetts,12,0,126742,48745,3
Michigan,8,0,79149,68513,0
Minnesota,4,0,25055,17367,0
Missouri,11,0,72750,31596,0
Nevada,2,0,9826,6594,0
New Hampshire,5,0,36596,33034,0
New Jersey,0,7,60723,68024,0
New York,33,0,368735,361986,0
Ohio,21,0,265654,205599,0
Oregon,3,0,9888,8457,0
Pennsylvania,26,0,296391,276316,0
Rhode Island,4,0,13962,8470,0
Vermont,5,0,42420,13322,0
West Virginia,5,0,23799,11078,0
Wisconsin,8,0,83458,65884,0
