State,EV-Grant,EV-Seymour,Grant,Seymour,Other
Alabama,8,0,76667,72921,6
Arkansas,5,0,22112,19078,0
California,5,0,54588,54068,0
Connecticut,6,0,50788,47844,0
Delaware,0,3,7614,10957,0
Georgia,0,9,57109,102707,0
Illinois,16,0,250304,199116,0
Indiana,13,0,176552,166980,0
Iowa,8,0,120399,74040,0
Kansas,3,0,30027,13600,3
Kentucky,0,11,39566,115889,0
Louisiana,0,7,33263,80225,0
Maine,7,0,70502,42460,0
Maryland,0,7,30438,62357,0
Massachusetts,12,0,136379,59103,26
Michigan,8,0,128560,97060,0
Minnesota,4,0,43722,28096,0
Missouri,11,0,86860,65628,0
Nebraska,3,0,9772,5519,0
Nevada,3,0,6480,5218,0
New Hampshire,5,0,37718,30575,11
New Jersey,0,7,80131,83001,0
New York,0,33,419888,429883,0
North Carolina,9,0,96939,84559,0
Ohio,21,0,280167,238621,0
Oregon,0,3,10961,11125,0
Pennsylvania,26,0,342280,313382,0
Rhode Island,4,0,12993,6548,0
South Carolina,6,0,62301,45237,0
Tennessee,10,0,56628,26129,0
Vermont,5,0,44167,12045,0
West Virginia,5,0,29015,20306,0
Wisconsin,8,0,108900,84703,0
