State,EV-Grant,EV-Greeley,Grant,Greeley,Other
Alabama,10,0,90272,79444,0
Arkansas,0,0,41373,37927,0
California,6,0,54007,40717,1061
Connecticut,6,0,50314,45695,0
Delaware,3,0,11129,10205,488
Florida,4,0,17763,15427,0
Georgia,0,11,62550,76356,0
Illinois,21,0,241936,184884,3151
Indiana,15,0,186147,163632,1417
Iowa,11,0,131566,71189,13610
Kansas,5,0,66805,32970,737
Kentucky,0,12,88766,99995,2374
Louisiana,0,0,71663,57029,0
Maine,7,0,61426,29097,0
Maryland,0,8,66760,67687,0
Massachusetts,13,0,133455,59195,214
Michigan,11,0,138758,78551,4146
Minnesota,5,0,55708,35211,0
Mississippi,8,0,82175,47282,0
Missouri,0,15,119196,151434,2429
Nebraska,3,0,18329,7603,0
Nevada,3,0,8413,6236,0
New Hampshire,5,0,37168,31425,313
New Jersey,9,0,91656,76456,0
New York,35,0,440738,387282,0
North Carolina,10,0,94772,70130,261
Ohio,22,0,281852,244321,3263
Oregon,3,0,11818,7742,587
Pennsylvania,29,0,349589,212041,1632
Rhode Island,4,0,13665,5329,0
South Carolina,7,0,72290,22699,463
Tennessee,0,12,85655,93391,0
Texas,0,8,47468,66546,2580
Vermont,5,0,41480,10926,574
Virginia,11,0,93463,91647,85
West Virginia,5,0,32320,29532,615
Wisconsin,10,0,104994,86477,834
