State,EV-Tilden,EV-Hayes,Tilden,Hayes,Other
Alabama,0,10,102989,68708,2
Arkansas,0,6,58086,38649,211
California,6,0,76460,79258,66
Connecticut,0,6,61927,59033,1174
Delaware,0,3,13381,10752,0
Florida,4,0,22927,23849,0
Georgia,0,11,130157,50533,0
Illinois,21,0,258611,278232,17384
Indiana,0,15,213526,208011,17374
Iowa,11,0,112121,171326,9431
Kansas,5,0,37902,78324,7908
Kentucky,0,12,160060,97568,2998
Louisiana,8,0,70508,75315,0
Maine,7,0,49917,66300,828
Maryland,0,8,91779,71980,0
Massachusetts,13,0,108777,150064,779
Michigan,11,0,141685,166901,9864
Minnesota,5,0,48587,72955,2533
Mississippi,0,8,112173,52603,0
Missouri,0,15,202086,145027,3497
Nebraska,3,0,17413,31915,0
Nevada,3,0,9308,10383,0
New Hampshire,5,0,38510,41540,91
New Jersey,0,9,115962,103517,714
New York,0,35,521949,489207,4347
North Carolina,0,10,125427,108484,0
Ohio,22,0,323182,330698,4769
Oregon,3,0,14157,15214,510
Pennsylvania,29,0,366204,384184,8605
Rhode Island,4,0,10712,15787,128
South Carolina,7,0,90897,91786,0
Tennessee,0,12,133177,89566,0
Texas,0,8,104755,44800,0
Vermont,5,0,20254,44091,208
Virginia,0,11,140770,95518,0
West Virginia,0,5,56546,41997,1104
Wisconsin,10,0,123926,130067,3184
