State,EV-Garfie.,EV-Hancock,Garfie.,Hancock,Weaver,Other
Alabama,0,10,56350,91130,4422,0
Arkansas,0,6,41661,60489,4079,1543
California,1,5,80282,80426,3381,129
Colorado,3,0,27450,24647,1435,14
Connecticut,6,0,67071,64411,868,448
Delaware,0,3,14148,15181,129,0
Florida,0,4,23654,27964,0,0
Georgia,0,11,54470,102981,0,0
Illinois,21,0,318036,277321,26358,590
Indiana,15,0,232164,225522,12986,0
Iowa,11,0,183904,105845,32327,592
Kansas,5,0,121549,59801,19851,35
Kentucky,0,12,106490,148875,11506,233
Louisiana,0,8,38978,65047,437,0
Maine,7,0,74052,65211,4409,231
Maryland,0,8,78515,93706,0,0
Massachusetts,13,0,165198,111720,4548,799
Michigan,11,0,185335,131597,34895,1252
Minnesota,5,0,93902,53315,3267,286
Mississippi,0,8,34844,75750,5797,677
Missouri,0,15,153647,208600,35042,0
Nebraska,3,0,54979,28523,3950,0
Nevada,0,3,8732,9613,0,0
New Hampshire,5,0,44856,40797,528,180
New Jersey,0,9,120555,122565,2617,191
New York,35,0,555544,534511,12373,1517
North Carolina,0,10,115616,124204,1126,0
Ohio,22,0,375048,340821,6456,2642
Oregon,3,0,20619,19955,249,0
Pennsylvania,29,0,444704,407428,20668,1983
Rhode Island,4,0,18195,10779,236,25
South Carolina,0,7,57954,111236,567,36
Tennessee,0,12,107677,129569,6017,0
Texas,0,8,57893,156428,27405,0
Vermont,5,0,45091,18182,1212,109
Virginia,0,11,83533,128083,0,0
West Virginia,0,5,46243,57390,9008,0
Wisconsin,10,0,144398,114644,7986,159
