State,EV-Clevel.,EV-Blaine,Clevel.,Blaine,Other
Alabama,10,0,92736,59444,1444
Arkansas,7,0,72734,51198,1847
California,0,8,89288,102369,5331
Colorado,0,3,27723,36084,2712
Connecticut,6,0,67182,65898,4177
Delaware,3,0,16957,12953,74
Florida,4,0,31769,28031,190
Georgia,12,0,94667,48603,340
Illinois,0,22,312351,337469,22850
Indiana,15,0,245005,238489,11838
Iowa,0,13,177316,197089,2796
Kansas,0,9,90132,154406,21310
Kentucky,13,0,152961,118690,4830
Louisiana,8,0,62594,46347,458
Maine,0,6,52153,72217,6121
Maryland,8,0,96866,85748,3405
Massachusetts,0,14,122352,146724,34307
Michigan,0,13,189361,192669,19156
Minnesota,0,7,70065,111685,8267
Mississippi,9,0,77653,43035,0
Missouri,16,0,236023,203081,2164
Nebraska,0,5,54391,76912,2899
Nevada,0,3,5578,7193,26
New Hampshire,0,4,39198,43254,2134
New Jersey,9,0,127798,123440,9683
New York,36,0,563154,562005,42010
North Carolina,11,0,142905,125021,430
Ohio,0,23,368280,400082,16248
Oregon,0,3,24604,26860,1218
Pennsylvania,0,30,392785,478804,32275
Rhode Island,0,4,12391,19030,1350
South Carolina,9,0,69845,21730,1237
Tennessee,12,0,133770,124101,2107
Texas,13,0,225309,93141,6855
Vermont,0,4,17331,39514,2556
Virginia,12,0,145491,139356,130
West Virginia,6,0,67311,63096,1738
Wisconsin,0,11,146453,161135,12247
