State,EV-Roosev.,EV-Parker,Roosev.,Parker,Debs,Other
Alabama,0,11,22472,79857,853,5663
Arkansas,0,9,46860,64434,1816,3311
California,10,0,205226,89404,29535,7713
Colorado,5,0,134661,100105,4304,4597
Connecticut,7,0,111089,72909,4543,2587
Delaware,3,0,23705,19347,146,658
Florida,0,5,8314,27046,2337,1612
Georgia,0,13,24004,83466,196,23320
Idaho,3,0,47783,18480,4949,1366
Illinois,27,0,632645,327606,69225,47023
Indiana,15,0,368289,274345,12013,27538
Iowa,13,0,308158,149276,14849,13810
Kansas,10,0,212955,86174,15869,13563
Kentucky,0,13,205457,217170,3599,9720
Louisiana,0,9,5205,47708,995,0
Maine,6,0,65432,27642,2102,1847
Maryland,1,7,109497,109446,2247,3039
Massachusetts,16,0,257822,165746,13604,7937
Michigan,14,0,364957,135392,9042,15636
Minnesota,11,0,216651,55187,11692,9330
Mississippi,0,10,3280,53480,462,1499
Missouri,18,0,321449,296312,13009,13091
Montana,3,0,34932,21773,5676,2063
Nebraska,8,0,138558,52921,7412,26841
Nevada,3,0,6864,3982,925,344
New Hampshire,4,0,54163,34074,1090,834
New Jersey,12,0,245164,164566,9587,13230
New York,39,0,859533,683981,36883,37373
North Carolina,0,12,82442,124091,124,1161
North Dakota,4,0,52595,14273,2009,1137
Ohio,23,0,600095,344674,36260,23364
Oregon,4,0,60455,17521,7619,4559
Pennsylvania,34,0,840949,337998,21863,35928
Rhode Island,4,0,41605,24839,956,1256
South Carolina,0,9,2554,52563,0,1
South Dakota,4,0,72083,21969,3138,4205
Tennessee,0,12,105363,131653,1354,4380
Texas,0,18,51242,167200,2791,12775
Utah,3,0,62446,33413,5767,46
Vermont,4,0,40459,9777,859,793
Virginia,0,12,48180,80649,202,1379
Washington,5,0,101540,28098,10023,5490
West Virginia,7,0,132620,100855,1573,4938
Wisconsin,13,0,280315,124205,28240,10681
Wyoming,3,0,20489,8930,1072,217
