State,EV-Taft,EV-Bryan,Taft,Bryan,Debs,Other
Alabama,0,11,25372,74374,1450,3736
Arkansas,0,9,56624,87015,5842,2341
California,10,0,214398,127492,28659,16048
Colorado,0,5,123693,126644,7960,5561
Connecticut,7,0,112915,68255,5113,3720
Delaware,3,0,25014,22055,239,699
Florida,0,5,10654,31104,3747,3855
Georgia,0,13,41355,72350,584,18215
Idaho,3,0,52621,36162,6400,2110
Illinois,27,0,629932,450810,34711,39801
Indiana,15,0,348993,338262,13476,20395
Iowa,13,0,275209,200771,8287,10502
Kansas,10,0,197216,161209,12420,5101
Kentucky,0,13,235711,244092,4093,6823
Louisiana,0,9,8958,63568,2514,77
Maine,6,0,66987,35403,1758,2188
Maryland,2,6,116513,115908,2323,3787
Massachusetts,16,0,265966,155543,10779,24631
Michigan,14,0,335580,175771,11586,18893
Minnesota,11,0,195843,109401,14527,11533
Mississippi,0,10,4363,60287,978,1276
Missouri,18,0,347203,346574,15431,6719
Montana,3,0,32333,29326,5855,1308
Nebraska,0,8,126997,131099,3524,5179
Nevada,0,3,10775,11212,2103,436
New Hampshire,4,0,53149,33655,1299,1497
New Jersey,12,0,265326,182567,10253,9052
New York,39,0,870070,667468,38451,62361
North Carolina,0,12,114887,136928,372,367
North Dakota,4,0,57680,32885,2421,1539
Ohio,23,0,572312,502721,33795,12724
Oklahoma,0,7,110474,122363,21734,412
Oregon,4,0,62530,38049,7339,2971
Pennsylvania,34,0,745779,448782,33914,38975
Rhode Island,4,0,43942,24706,1365,2304
South Carolina,0,9,3945,62288,100,46
South Dakota,4,0,67536,40266,2846,4127
Tennessee,0,12,117977,135608,1870,1725
Texas,0,18,65666,217302,7870,2919
Utah,3,0,61028,42601,4895,89
Vermont,4,0,39552,11496,0,1635
Virginia,0,12,52572,82946,255,1292
Washington,5,0,106062,58691,14177,4949
West Virginia,7,0,137869,111418,3679,5139
Wisconsin,13,0,247747,166662,28147,11885
Wyoming,3,0,20846,14918,1715,130
