State,EV-Wilson,EV-Roosev.,EV,Wilson,Roosev.,Taft,Debs,Other
Alabama,12,0,0,82438,22680,9717,3029,5
Arizona,3,0,0,10324,6949,3021,3163,265
Arkansas,9,0,0,68814,21644,25585,8153,908
California,2,11,0,283436,283610,3914,79201,27783
Colorado,6,0,0,114232,72306,58386,16418,5538
Connecticut,7,0,0,74561,34129,68324,10056,3334
Delaware,3,0,0,22631,8886,15998,556,623
Florida,6,0,0,35343,4555,4279,4806,1854
Georgia,14,0,0,93087,21985,5191,1058,149
Idaho,4,0,0,33921,25527,32810,11960,1536
Illinois,29,0,0,405048,386478,253593,81278,19776
Indiana,15,0,0,281890,162007,151267,36931,22379
Iowa,13,0,0,185325,161819,119805,16967,8440
Kansas,10,0,0,143663,120210,74845,26779,63
Kentucky,13,0,0,219584,102766,115512,11647,4189
Louisiana,10,0,0,60871,9283,3833,5261,0
Maine,6,0,0,51113,48495,26545,2541,946
Maryland,8,0,0,112674,57789,54956,3996,2566
Massachusetts,18,0,0,173408,142228,155948,12616,3857
Michigan,0,15,0,150751,214584,152244,23211,10186
Minnesota,0,12,0,106426,125856,64334,27505,10098
Mississippi,10,0,0,57324,3549,1560,2050,0
Missouri,18,0,0,330746,124375,207821,28466,7158
Montana,4,0,0,27941,22456,18512,10885,32
Nebraska,8,0,0,109008,72681,54226,10185,3383
Nevada,3,0,0,7986,5620,3196,3313,0
New Hampshire,4,0,0,34724,17794,32927,1981,535
New Jersey,14,0,0,178289,145410,88835,15948,4257
New Mexico,3,0,0,20437,8347,17733,2859,0
New York,45,0,0,655573,390093,455487,63434,23728
North Carolina,12,0,0,144507,69130,29139,1025,117
North Dakota,5,0,0,29555,25726,23090,6966,1243
Ohio,24,0,0,424834,229807,278168,90144,14141
Oklahoma,10,0,0,119156,0,90786,41674,2185
Oregon,5,0,0,47064,37600,34673,13343,4360
Pennsylvania,0,38,0,395637,444894,273360,83614,20231
Rhode Island,5,0,0,30412,16878,27703,2049,852
South Carolina,9,0,0,48357,1293,536,164,55
South Dakota,0,5,0,48942,58811,0,4662,3910
Tennessee,12,0,0,133021,54041,60475,3564,832
Texas,20,0,0,219489,26745,28530,24896,2128
Utah,0,0,4,36579,24174,42100,9023,510
Vermont,0,0,4,15354,22132,23332,928,1096
Virginia,12,0,0,90332,21777,23288,820,759
Washington,0,7,0,86840,113698,70445,40134,11682
West Virginia,8,0,0,113197,79112,56754,15248,4517
Wisconsin,13,0,0,164230,62448,130596,33476,9225
Wyoming,3,0,0,15310,9232,14560,2760,434
