State,EV-Wilson,EV-Hughes,Wilson,Hughes,Benson,Other
Alabama,12,0,99409,28662,1916,741
Arizona,3,0,33170,20524,3174,1153
Arkansas,9,0,112211,48879,6999,2015
California,13,0,466289,462516,42898,27900
Colorado,6,0,178816,102308,10049,3202
Connecticut,0,7,99786,106514,5179,2395
Delaware,0,3,24753,26011,480,566
Florida,6,0,55984,14611,5353,4786
Georgia,14,0,127754,11294,941,20692
Idaho,4,0,70054,55368,8066,1127
Illinois,0,29,950229,1152549,61394,28535
Indiana,0,15,334063,341005,21855,21925
Iowa,0,13,221699,280439,10976,3830
Kansas,10,0,314588,277658,24685,12882
Kentucky,13,0,269990,241854,4734,3491
Louisiana,10,0,79875,6466,292,6349
Maine,0,6,64033,69508,2177,596
Maryland,8,0,138359,117347,2674,3659
Massachusetts,0,18,247894,268784,11058,4096
Michigan,0,15,286775,339097,16120,8981
Minnesota,0,12,179152,179544,20117,8551
Mississippi,10,0,80422,4253,1484,520
Missouri,18,0,398032,369339,14612,4786
Montana,4,0,101063,66750,9564,302
Nebraska,8,0,158827,117771,7141,3576
Nevada,3,0,17776,12127,3065,348
New Hampshire,4,0,43781,43725,1318,303
New Jersey,0,14,211018,268982,10405,4037
New Mexico,3,0,33527,31152,1996,112
New York,0,45,759426,879238,45944,21697
North Carolina,12,0,168383,120890,509,53
North Dakota,5,0,55206,53471,5716,997
Ohio,24,0,604161,514753,38092,8080
Oklahoma,10,0,148113,97233,45190,1880
Oregon,0,5,120087,126813,9711,5039
Pennsylvania,0,38,521784,703823,42638,29047
Rhode Island,0,5,40394,44858,1914,650
South Carolina,9,0,61846,1550,135,421
South Dakota,0,5,59191,64217,3760,1774
Tennessee,12,0,153280,116223,2542,145
Texas,20,0,286514,64999,18963,1985
Utah,4,0,84145,54137,4460,404
Vermont,0,4,22708,40250,798,719
Virginia,12,0,102824,49356,1062,750
Washington,7,0,183388,167208,22800,7598
West Virginia,1,7,140403,143124,6150,175
Wisconsin,0,13,191363,220822,27631,7318
Wyoming,3,0,28316,21698,1453,373
