State,EV-Hoover,EV-Smith,Hoover,Smith,Other
Alabama,0,12,120725,127796,460
Arizona,3,0,52533,38537,184
Arkansas,0,9,77751,119196,746
California,13,0,1162323,614365,19968
Colorado,6,0,253872,133131,5239
Connecticut,7,0,296641,252085,4398
Delaware,3,0,68860,36643,388
Florida,6,0,144168,101764,7742
Georgia,0,14,99368,129602,188
Idaho,4,0,97322,52926,1293
Illinois,29,0,1769141,1313817,24531
Indiana,15,0,848290,562691,10333
Iowa,13,0,623570,379311,6608
Kansas,10,0,513672,193003,6525
Kentucky,13,0,558734,381070,1470
Louisiana,0,10,51160,164655,18
Maine,6,0,179923,81179,1069
Maryland,8,0,301479,223626,3243
Massachusetts,0,18,775566,792758,9499
Michigan,15,0,965396,396762,9924
Minnesota,12,0,560977,396451,13548
Mississippi,0,10,27153,124539,0
Missouri,18,0,834080,662562,4079
Montana,4,0,113300,78578,2230
Nebraska,8,0,345745,197959,3440
Nevada,3,0,18327,14090,0
New Hampshire,4,0,115404,80715,638
New Jersey,14,0,926050,616517,6814
New Mexico,3,0,69645,48211,158
New York,45,0,2193344,2089863,122419
North Carolina,12,0,348923,286227,0
North Dakota,5,0,131441,106648,1778
Ohio,24,0,1627546,864210,16590
Oklahoma,10,0,394046,219174,5207
Oregon,5,0,205341,109223,5378
Pennsylvania,38,0,2055382,1067586,27642
Rhode Island,0,5,117522,118973,699
South Carolina,0,9,5858,62700,47
South Dakota,5,0,157603,102660,1602
Tennessee,12,0,195388,167343,742
Texas,20,0,367036,341032,931
Utah,4,0,94618,80985,1000
Vermont,4,0,90404,44440,347
Virginia,12,0,164609,140146,603
Washington,7,0,335844,156772,8224
West Virginia,8,0,375551,263784,3417
Wisconsin,13,0,544205,450259,22367
Wyoming,3,0,52748,29299,788
