State,EV-Roosev.,EV-Willkie,Roosev.,Willkie,Other
Alabama,11,0,250726,42184,1309
Arizona,3,0,95267,54030,742
Arkansas,9,0,158622,42121,0
California,22,0,1877618,1351419,39754
Colorado,0,6,265554,279576,3874
Connecticut,8,0,417621,361819,2062
Delaware,3,0,74599,61440,335
Florida,7,0,359334,126158,0
Georgia,12,0,265194,46360,997
Idaho,4,0,127842,106553,773
Illinois,29,0,2149934,2047240,20761
Indiana,0,14,874063,899466,9218
Iowa,0,11,578800,632370,4260
Kansas,0,9,364725,489169,6403
Kentucky,11,0,557322,410384,2457
Louisiana,10,0,319751,52446,108
Maine,0,5,156478,163951,411
Maryland,8,0,384546,269534,6037
Massachusetts,17,0,1076522,939700,10771
Michigan,0,19,1032991,1039917,13021
Minnesota,11,0,644196,596274,10718
Mississippi,9,0,168267,7364,193
Missouri,15,0,958476,871009,4244
Montana,4,0,145698,99579,2596
Nebraska,0,7,263677,352201,0
Nevada,3,0,31945,21229,0
New Hampshire,4,0,125292,110127,0
New Jersey,16,0,1016808,945475,10269
New Mexico,3,0,103699,79315,244
New York,47,0,3251918,3027478,34501
North Carolina,13,0,609015,213633,0
North Dakota,0,4,124036,154590,2149
Ohio,26,0,1733139,1586773,0
Oklahoma,11,0,474313,348872,3027
Oregon,5,0,258415,219555,3270
Pennsylvania,36,0,2171035,1889848,17831
Rhode Island,4,0,182182,138653,313
South Carolina,8,0,95470,4360,2
South Dakota,0,4,131362,177065,0
Tennessee,11,0,351601,169153,2069
Texas,23,0,909974,212692,1865
Utah,4,0,154277,93151,391
Vermont,0,3,64269,78371,422
Virginia,11,0,235961,109363,1283
Washington,8,0,462145,322123,9565
West Virginia,8,0,495662,372414,0
Wisconsin,12,0,704821,679206,21495
Wyoming,3,0,59287,52633,320
