State,EV-Roosev.,EV-Dewey,Roosev.,Dewey,Other
Alabama,11,0,198918,44540,1285
Arizona,4,0,80926,56287,421
Arkansas,9,0,148965,63551,438
California,25,0,1988564,1512965,19346
Colorado,0,6,234331,268731,1977
Connecticut,8,0,435146,390527,6317
Delaware,3,0,68166,56747,448
Florida,8,0,339377,143215,0
Georgia,12,0,268187,59880,42
Idaho,4,0,107399,100137,785
Illinois,28,0,2079479,1939314,17268
Indiana,0,13,781403,875891,14797
Iowa,0,10,499876,547267,5456
Kansas,0,8,287458,442096,4222
Kentucky,11,0,472589,392448,2884
Louisiana,10,0,281564,67750,69
Maine,0,5,140631,155434,335
Maryland,8,0,315490,292949,0
Massachusetts,16,0,1035296,921350,4019
Michigan,19,0,1106899,1084423,13901
Minnesota,11,0,589864,527416,8249
Mississippi,9,0,168479,11601,0
Missouri,15,0,807804,761524,3146
Montana,4,0,112556,93163,1636
Nebraska,0,6,233246,329880,0
Nevada,3,0,29623,24611,0
New Hampshire,4,0,119663,109916,48
New Jersey,16,0,987874,961335,14552
New Mexico,4,0,81389,70688,148
New York,47,0,3304238,2987647,24932
North Carolina,14,0,527399,263155,0
North Dakota,0,4,100144,118535,1492
Ohio,0,25,1570763,1582293,0
Oklahoma,10,0,401549,319424,1663
Oregon,6,0,248635,225365,6147
Pennsylvania,35,0,1940479,1835054,19260
Rhode Island,4,0,175356,123487,433
South Carolina,8,0,90601,4610,8164
South Dakota,0,4,96711,135365,0
Tennessee,12,0,308707,200311,1674
Texas,23,0,821605,191425,137301
Utah,4,0,150088,97891,340
Vermont,0,3,53820,71527,14
Virginia,11,0,242276,145243,966
Washington,8,0,486774,361689,7865
West Virginia,8,0,392777,322819,0
Wisconsin,0,12,650413,674532,14207
Wyoming,0,3,49419,51921,0
