State,EV-Truman,EV-Dewey,EV,Truman,Dewey,Thurmo.,Wallace,Other
Alabama,0,0,11,0,40930,171443,1522,1085
Arizona,4,0,0,95251,77597,0,3310,907
Arkansas,9,0,0,149659,50959,40068,751,1038
California,25,0,0,1913134,1895269,1228,190381,21526
Colorado,6,0,0,267288,239714,0,6115,2120
Connecticut,0,8,0,423297,437754,0,13713,8754
Delaware,0,3,0,67813,69588,0,1050,622
Florida,8,0,0,281988,194280,89755,11620,0
Georgia,12,0,0,254646,76691,85055,1636,736
Idaho,4,0,0,107370,101514,0,4972,960
Illinois,28,0,0,1994715,1961103,0,0,28228
Indiana,0,13,0,807833,821079,0,9649,17653
Iowa,10,0,0,522380,494018,0,12125,9749
Kansas,0,8,0,351902,423039,0,4603,9275
Kentucky,11,0,0,466756,341210,10411,1567,2714
Louisiana,0,0,10,136344,72657,204290,3035,10
Maine,0,5,0,111916,150234,0,1884,755
Maryland,0,8,0,286521,294814,2476,9983,2941
Massachusetts,16,0,0,1151788,909370,0,38157,7831
Michigan,0,19,0,1003448,1038595,0,46515,21051
Minnesota,11,0,0,692966,483617,0,27866,7777
Mississippi,0,0,9,19384,5043,167538,225,0
Missouri,15,0,0,917315,655039,42,3998,2234
Montana,4,0,0,119071,96770,0,7313,1124
Nebraska,0,6,0,224165,264774,0,0,1
Nevada,3,0,0,31291,29357,0,1469,0
New Hampshire,0,4,0,107995,121299,7,1970,169
New Jersey,0,16,0,895455,981124,0,42683,30293
New Mexico,4,0,0,105464,80303,0,1037,259
New York,0,47,0,2780204,2841163,16,509559,47560
North Carolina,14,0,0,459070,258572,69652,3915,0
North Dakota,0,4,0,95812,115139,374,8391,1000
Ohio,25,0,0,1452791,1445684,0,37596,0
Oklahoma,10,0,0,452782,268817,0,0,0
Oregon,0,6,0,243147,260904,0,14978,5051
Pennsylvania,0,35,0,1752426,1902197,0,55161,25364
Rhode Island,4,0,0,188736,135787,0,2619,560
South Carolina,0,0,8,34423,5386,102607,154,1
South Dakota,0,4,0,117653,129651,0,2801,0
Tennessee,11,0,1,270402,202914,73815,1864,1288
Texas,23,0,0,824235,303467,113776,3920,4034
Utah,4,0,0,149151,124402,0,2679,73
Vermont,0,3,0,45557,75926,0,1279,620
Virginia,11,0,0,200786,172070,43393,2047,960
Washington,8,0,0,476165,386315,0,31692,10887
West Virginia,8,0,0,429188,316251,0,3311,0
Wisconsin,12,0,0,647310,590959,0,25282,13249
Wyoming,3,0,0,52354,47947,0,931,193
