State,EV-Eisenh.,EV-Steven.,Eisenh.,Steven.,Other
Alabama,0,10,195694,280844,20333
Arizona,4,0,176990,112880,303
Arkansas,0,8,186287,213277,7008
California,32,0,3027668,2420135,18552
Colorado,6,0,394479,263997,4598
Connecticut,8,0,711837,405079,205
Delaware,3,0,98057,79421,510
Florida,10,0,643849,480371,0
Georgia,0,12,216652,441094,5734
Idaho,4,0,166979,105868,142
Illinois,27,0,2623327,1775682,8398
Indiana,13,0,1182811,783908,7888
Iowa,10,0,729187,501858,3519
Kansas,8,0,566878,296317,3048
Kentucky,10,0,572192,476453,5160
Louisiana,10,0,329047,243977,44520
Maine,5,0,249238,102468,0
Maryland,9,0,559738,372613,0
Massachusetts,16,0,1393197,948190,7119
Michigan,20,0,1713647,1359898,6923
Minnesota,11,0,719302,617525,3178
Mississippi,0,8,60685,144498,42966
Missouri,0,13,914289,918273,0
Montana,4,0,154933,116238,0
Nebraska,6,0,378108,199029,0
Nevada,3,0,56049,40640,0
New Hampshire,4,0,176519,90364,111
New Jersey,16,0,1606942,850337,27033
New Mexico,4,0,146788,106098,1040
New York,45,0,4340340,2750769,2227
North Carolina,0,14,575062,590530,0
North Dakota,4,0,156766,96742,483
Ohio,25,0,2262610,1439655,0
Oklahoma,8,0,473769,385581,0
Oregon,6,0,406393,329204,0
Pennsylvania,32,0,2585252,1981769,9482
Rhode Island,4,0,225819,161790,2
South Carolina,0,8,75700,136372,88511
South Dakota,4,0,171569,122288,0
Tennessee,11,0,462288,456507,20609
Texas,24,0,1080619,859958,14968
Utah,4,0,215631,118364,0
Vermont,3,0,110390,42549,39
Virginia,12,0,386459,267760,43759
Washington,9,0,620430,523002,7457
West Virginia,8,0,449297,381534,0
Wisconsin,12,0,954844,586768,8946
Wyoming,3,0,74573,49554,0
