State,EV-Kennedy,EV-Nixon,EV,Kennedy,Nixon,Other
Alabama,5,0,6,318303,237981,8189
Alaska,0,3,0,29809,30953,0
Arizona,0,4,0,176781,221241,469
Arkansas,8,0,0,215049,184508,28952
California,0,32,0,3224099,3259722,22757
Colorado,0,6,0,330629,402242,3375
Connecticut,8,0,0,657055,565813,15
Delaware,3,0,0,99590,96373,720
Florida,0,10,0,748700,795476,0
Georgia,12,0,0,458638,274472,239
Hawaii,3,0,0,92410,92295,0
Idaho,0,4,0,138853,161597,0
Illinois,27,0,0,2377846,2368988,10575
Indiana,0,13,0,952358,1175120,7882
Iowa,0,10,0,550565,722381,864
Kansas,0,8,0,363213,561474,4138
Kentucky,0,10,0,521855,602607,0
Louisiana,10,0,0,407339,230980,169572
Maine,0,5,0,181159,240608,6
Maryland,9,0,0,565808,489538,3
Massachusetts,16,0,0,1487174,976750,5556
Michigan,20,0,0,1687269,1620428,10400
Minnesota,11,0,0,779933,757915,4039
Mississippi,0,0,8,108362,73561,116248
Missouri,13,0,0,972201,962221,0
Montana,0,4,0,134891,141841,847
Nebraska,0,6,0,232542,380553,0
Nevada,3,0,0,54880,52387,0
New Hampshire,0,4,0,137772,157989,0
New Jersey,16,0,0,1385415,1363324,24372
New Mexico,4,0,0,156027,153733,1347
New York,45,0,0,3830085,3446419,14575
North Carolina,14,0,0,713136,655420,0
North Dakota,0,4,0,123963,154310,158
Ohio,0,25,0,1944248,2217611,0
Oklahoma,0,7,1,370111,533039,0
Oregon,0,6,0,367402,408060,959
Pennsylvania,32,0,0,2556282,2439956,10303
Rhode Island,4,0,0,258032,147502,1
South Carolina,8,0,0,198129,188558,1
South Dakota,0,4,0,128070,178417,0
Tennessee,0,11,0,481453,556577,13762
Texas,24,0,0,1167567,1121310,22207
Utah,0,4,0,169248,205361,100
Vermont,0,3,0,69186,98131,7
Virginia,0,12,0,362327,404521,4601
Washington,0,9,0,599298,629273,13001
West Virginia,8,0,0,441786,395995,0
Wisconsin,0,12,0,830805,895175,3102
Wyoming,0,3,0,63331,77451,0
