State,EV-Johnson,EV-Goldwa.,Johnson,Goldwa.,Other
Alabama,0,10,0,479085,210732
Alaska,3,0,44329,22930,0
Arizona,0,5,237753,242535,482
Arkansas,6,0,314197,243264,2965
California,40,0,4171877,2879108,6601
Colorado,6,0,476024,296767,4195
Connecticut,8,0,826269,390996,1313
Delaware,3,0,122704,78078,538
D. C.,3,0,169796,28801,0
Florida,14,0,948540,905941,0
Georgia,0,12,522557,616584,195
Hawaii,4,0,163249,44022,0
Idaho,4,0,148920,143557,0
Illinois,26,0,2796833,1905946,62
Indiana,13,0,1170848,911118,9640
Iowa,9,0,733030,449148,2361
Kansas,7,0,464028,386579,7294
Kentucky,9,0,669659,372977,3469
Louisiana,0,10,387068,509225,0
Maine,4,0,262264,118701,256
Maryland,10,0,730912,385495,50
Massachusetts,14,0,1786422,549727,8649
Michigan,21,0,2136615,1060152,6335
Minnesota,10,0,991117,559624,3721
Mississippi,0,7,52618,356528,0
Missouri,12,0,1164344,653535,0
Montana,4,0,164246,113032,1350
Nebraska,5,0,307307,276847,0
Nevada,3,0,79339,56094,0
New Hampshire,4,0,184064,104029,0
New Jersey,17,0,1867671,963843,15256
New Mexico,4,0,194017,131838,1760
New York,43,0,4913156,2243559,9300
North Carolina,13,0,800139,624844,0
North Dakota,4,0,149784,108207,398
Ohio,26,0,2498331,1470865,0
Oklahoma,8,0,519834,412665,0
Oregon,6,0,501017,282779,2509
Pennsylvania,29,0,3130954,1673657,18079
Rhode Island,4,0,315463,74615,13
South Carolina,0,8,215700,309048,8
South Dakota,4,0,163010,130108,0
Tennessee,11,0,634947,508965,34
Texas,25,0,1663185,958566,5060
Utah,4,0,219628,180682,0
Vermont,3,0,108127,54942,20
Virginia,12,0,558038,481334,2895
Washington,9,0,779881,470366,8309
West Virginia,7,0,538087,253953,0
Wisconsin,12,0,1050424,638495,2896
Wyoming,3,0,80718,61998,0
