State,EV-Nixon,EV-Humphr.,EV,Nixon,Humphr.,Wallace,Other
Alabama,0,0,10,146923,196579,691425,14990
Alaska,3,0,0,37600,35411,10024,0
Arizona,5,0,0,266721,170514,46573,3128
Arkansas,0,0,6,189062,184901,235627,0
California,40,0,0,3467664,3244318,487270,52335
Colorado,6,0,0,409345,335174,60813,5867
Connecticut,0,8,0,556721,621561,76650,1300
Delaware,3,0,0,96714,89194,28459,0
D. C.,0,3,0,31012,139566,0,0
Florida,14,0,0,886804,676794,624207,0
Georgia,0,0,12,380111,334440,535550,165
Hawaii,0,4,0,91425,141324,3469,0
Idaho,4,0,0,165369,89273,36541,0
Illinois,26,0,0,2174774,2039814,390958,14203
Indiana,13,0,0,1067885,806659,243108,5945
Iowa,9,0,0,619106,476699,66422,5704
Kansas,7,0,0,478674,302996,88921,2192
Kentucky,9,0,0,462411,397541,193098,2843
Louisiana,0,0,10,257535,309615,530300,0
Maine,0,4,0,169254,217312,6370,0
Maryland,0,10,0,517995,538310,178734,0
Massachusetts,0,14,0,766844,1469218,87088,8602
Michigan,0,21,0,1370665,1593082,331968,10535
Minnesota,0,10,0,658643,857738,68931,3198
Mississippi,0,0,7,88516,150644,415349,0
Missouri,12,0,0,811932,791444,206126,0
Montana,4,0,0,138835,114117,20015,1437
Nebraska,5,0,0,321163,170784,44904,0
Nevada,3,0,0,73188,60598,20432,0
New Hampshire,4,0,0,154903,130589,11173,634
New Jersey,17,0,0,1325467,1264206,262187,23535
New Mexico,4,0,0,169692,130081,25737,1771
New York,0,43,0,3007932,3378470,358864,44800
North Carolina,12,0,1,627192,464113,496188,0
North Dakota,4,0,0,138669,94769,14244,200
Ohio,26,0,0,1791014,1700586,467495,603
Oklahoma,8,0,0,449697,301658,191731,0
Oregon,6,0,0,408433,358866,49683,2640
Pennsylvania,0,29,0,2090017,2259405,378582,19924
Rhode Island,0,4,0,122359,246518,15678,445
South Carolina,8,0,0,254062,197486,215430,4
South Dakota,4,0,0,149841,118023,13400,0
Tennessee,11,0,0,472592,351233,424792,0
Texas,0,25,0,1227844,1266804,584269,489
Utah,4,0,0,238728,156665,26906,269
Vermont,3,0,0,85142,70255,5104,903
Virginia,12,0,0,590319,442387,321833,6952
Washington,0,9,0,588510,616037,96990,2744
West Virginia,0,7,0,307555,374091,72560,0
Wisconsin,12,0,0,809997,748804,127835,4902
Wyoming,3,0,0,70927,45173,11105,0
