State,EV-Nixon,EV-McGove.,EV,Nixon,McGove.,Other
Alabama,9,0,0,728701,256923,20469
Alaska,3,0,0,55349,32967,6903
Arizona,6,0,0,402812,198540,52153
Arkansas,6,0,0,445751,198899,3016
California,45,0,0,4602096,3475847,289919
Colorado,7,0,0,597189,329980,26715
Connecticut,8,0,0,810763,555498,18016
Delaware,3,0,0,140357,92283,2876
D. C.,0,3,0,35226,127627,568
Florida,17,0,0,1857759,718117,7407
Georgia,12,0,0,881496,289529,3747
Hawaii,4,0,0,168865,101409,0
Idaho,4,0,0,199384,80826,30169
Illinois,26,0,0,2788179,1913472,21585
Indiana,13,0,0,1405154,708568,11807
Iowa,8,0,0,706207,496206,23531
Kansas,7,0,0,619812,270287,25996
Kentucky,9,0,0,676446,371159,19894
Louisiana,10,0,0,686852,298142,66497
Maine,4,0,0,256458,160584,229
Maryland,10,0,0,829305,505781,18726
Massachusetts,0,14,0,1112078,1332540,14138
Michigan,21,0,0,1961721,1459435,69169
Minnesota,10,0,0,898269,802346,41037
Mississippi,7,0,0,505125,126782,14056
Missouri,12,0,0,1154058,698531,0
Montana,4,0,0,183976,120197,13430
Nebraska,5,0,0,406298,169991,0
Nevada,3,0,0,115750,66016,0
New Hampshire,4,0,0,213724,116435,3900
New Jersey,17,0,0,1845502,1102211,49516
New Mexico,4,0,0,235606,141084,9241
New York,41,0,0,4192778,2951084,17968
North Carolina,13,0,0,1054889,438705,25018
North Dakota,3,0,0,174109,100384,6021
Ohio,25,0,0,2441827,1558889,94071
Oklahoma,8,0,0,759025,247147,23728
Oregon,6,0,0,486686,392760,48500
Pennsylvania,27,0,0,2714521,1796951,80633
Rhode Island,4,0,0,220383,194645,780
South Carolina,8,0,0,478427,189270,10183
South Dakota,4,0,0,166476,139945,994
Tennessee,10,0,0,813147,357293,30742
Texas,26,0,0,2298896,1154291,19527
Utah,4,0,0,323643,126284,28549
Vermont,3,0,0,117149,68174,1623
Virginia,11,0,1,988493,438887,29639
Washington,9,0,0,837135,568334,65378
West Virginia,6,0,0,484964,277435,0
Wisconsin,11,0,0,989430,810174,53286
Wyoming,3,0,0,100464,44358,748
