State,EV-Carter,EV-Ford,Carter,Ford,Other
Alabama,9,0,659170,504070,19610
Alaska,0,3,44058,71555,7961
Arizona,0,6,295602,418642,28475
Arkansas,6,0,499614,268753,1029
California,0,45,3742284,3882244,242589
Colorado,0,7,460353,584367,36415
Connecticut,0,8,647895,719261,14370
Delaware,3,0,122596,109831,3407
D. C.,3,0,137818,27873,3139
Florida,17,0,1636000,1469531,45100
Georgia,12,0,979409,483743,4306
Hawaii,4,0,147375,140003,3923
Idaho,0,4,126549,204151,10232
Illinois,0,26,2271295,2364269,83269
Indiana,0,13,1014714,1183958,21690
Iowa,0,8,619931,632863,26512
Kansas,0,7,430421,502752,24672
Kentucky,9,0,615717,531852,19573
Louisiana,10,0,661365,587446,29628
Maine,0,4,232279,236320,14609
Maryland,10,0,759612,672661,0
Massachusetts,14,0,1429475,1030276,87807
Michigan,0,21,1696714,1893742,63293
Minnesota,10,0,1070440,819395,60096
Mississippi,7,0,381309,366846,21205
Missouri,12,0,998387,927443,27770
Montana,0,4,149259,173703,5772
Nebraska,0,5,233692,359705,14271
Nevada,0,3,92479,101273,8124
New Hampshire,0,4,147635,185935,6048
New Jersey,0,17,1444653,1509688,60131
New Mexico,0,4,201148,211419,4023
New York,41,0,3389558,3100791,44071
North Carolina,13,0,927365,741960,8581
North Dakota,0,3,136078,153470,7546
Ohio,25,0,2011621,2000505,99747
Oklahoma,0,8,532442,545708,14101
Oregon,0,6,490407,492120,47349
Pennsylvania,27,0,2328677,2205604,86506
Rhode Island,4,0,227636,181249,2285
South Carolina,8,0,450825,346140,5629
South Dakota,0,4,147068,151505,2105
Tennessee,10,0,825879,633969,16498
Texas,26,0,2082319,1953300,36265
Utah,0,4,182110,337908,21180
Vermont,0,3,81044,102085,4726
Virginia,0,12,813896,836554,46644
Washington,0,8,717323,777732,60479
West Virginia,6,0,435914,314760,0
Wisconsin,11,0,1040232,1004987,56117
Wyoming,0,3,62239,92717,1387
