State,EV-Bush,EV-Dukakis,Bush,Dukakis,Other
Alabama,9,0,815576,549506,13394
Alaska,3,0,119251,72584,8281
Arizona,7,0,702541,454029,15303
Arkansas,6,0,466578,349237,11923
California,47,0,5054917,4702233,129914
Colorado,8,0,728177,621453,22764
Connecticut,8,0,750241,676584,16569
Delaware,3,0,139639,108647,1605
D. C.,0,3,27590,159407,5880
Florida,21,0,2618885,1656701,26727
Georgia,12,0,1081331,714792,13549
Hawaii,0,4,158625,192364,3472
Idaho,4,0,253881,147272,7815
Illinois,24,0,2310939,2215940,32241
Indiana,12,0,1297763,860643,10215
Iowa,0,8,545355,670557,9702
Kansas,7,0,554049,422636,16359
Kentucky,9,0,734281,580368,7868
Louisiana,10,0,883702,717460,27040
Maine,4,0,307131,243569,4335
Maryland,10,0,876167,826304,11887
Massachusetts,0,13,1194635,1401415,36755
Michigan,20,0,1965486,1675783,27894
Minnesota,0,10,962337,1109471,24982
Mississippi,7,0,557890,363921,9716
Missouri,11,0,1084953,1001619,6656
Montana,4,0,190412,168936,6326
Nebraska,5,0,398447,259646,4279
Nevada,4,0,206040,132738,11289
New Hampshire,4,0,281537,163696,5292
New Jersey,16,0,1743192,1320352,36009
New Mexico,5,0,270341,244497,6449
New York,0,36,3081871,3347882,55930
North Carolina,13,0,1237258,890167,6945
North Dakota,3,0,166559,127739,2963
Ohio,23,0,2416549,1939629,37521
Oklahoma,8,0,678367,483423,9246
Oregon,0,7,560126,616206,25362
Pennsylvania,25,0,2300087,2194944,41220
Rhode Island,0,4,177761,225123,1736
South Carolina,8,0,606443,370554,9012
South Dakota,3,0,165415,145560,2016
Tennessee,11,0,947233,679794,9223
Texas,29,0,3036829,2352748,37833
Utah,5,0,428442,207343,11223
Vermont,3,0,124331,115775,3227
Virginia,12,0,1309162,859799,22648
Washington,0,10,903835,933516,27902
West Virginia,0,5,310065,341016,2230
Wisconsin,0,11,1047499,1126794,17315
Wyoming,3,0,106867,67113,2571
