State,EV-Bush,EV-Kerry,Bush,Kerry,Other
Alabama,9,0,1176394,693933,13122
Alaska,3,0,190889,111025,10684
Arizona,10,0,1104294,893524,18284
Arkansas,6,0,572898,469953,12094
California,0,55,5509826,6745485,166548
Colorado,9,0,1101256,1001725,27344
Connecticut,0,7,693826,857488,27455
Delaware,0,3,171660,200152,3458
D. C.,0,3,21256,202970,3360
Florida,27,0,3964522,3583544,61744
Georgia,15,0,1914254,1366149,24078
Hawaii,0,4,194191,231708,3114
Idaho,4,0,409235,181098,8114
Illinois,0,21,2345946,2891550,36826
Indiana,11,0,1479438,969011,19553
Iowa,7,0,751957,741898,13053
Kansas,6,0,736456,434993,16307
Kentucky,8,0,1069439,712733,13907
Louisiana,9,0,1102169,820299,20638
Maine,0,4,330201,396842,13709
Maryland,0,10,1024703,1334493,27482
Massachusetts,0,12,1071109,1803800,37479
Michigan,0,17,2313746,2479183,46323
Minnesota,0,9,1346695,1445014,36678
Mississippi,6,0,684981,458094,9290
Missouri,11,0,1455713,1259171,16480
Montana,3,0,266063,173710,10672
Nebraska,5,0,512814,254328,11044
Nevada,5,0,418690,397190,13707
New Hampshire,0,4,331237,340511,5990
New Jersey,0,15,1670003,1911430,30704
New Mexico,5,0,376930,370942,8432
New York,0,31,2962567,4314280,115107
North Carolina,15,0,1961166,1525849,13992
North Dakota,3,0,196651,111052,5130
Ohio,20,0,2859768,2741167,26973
Oklahoma,7,0,959792,503966,0
Oregon,0,7,866831,943163,26788
Pennsylvania,0,21,2793847,2938095,37648
Rhode Island,0,4,169046,259760,8328
South Carolina,8,0,937974,661699,18057
South Dakota,3,0,232584,149244,6387
Tennessee,11,0,1383336,1035160,16453
Texas,34,0,4526917,2832704,51144
Utah,5,0,663742,241199,22903
Vermont,0,3,121180,184067,7062
Virginia,13,0,1716959,1454742,26666
Washington,0,11,1304894,1510201,46618
West Virginia,5,0,423778,326541,5568
Wisconsin,0,10,1478120,1489504,29383
Wyoming,3,0,167629,70776,5023
