State,EV-Obama,EV-McCain,Obama,McCain,Other
Alabama,0,9,813479,1266546,19794
Alaska,0,3,123594,193841,8762
Arizona,0,10,1034707,1230111,39020
Arkansas,0,6,422310,638017,26290
California,55,0,8274473,5011781,296829
Colorado,9,0,1288633,1073629,39200
Connecticut,7,0,997773,629428,19592
Delaware,3,0,255459,152374,4783
D. C.,3,0,245800,17367,2686
Florida,27,0,4282367,4046219,83662
Georgia,0,15,1844123,2048759,39276
Hawaii,4,0,325871,120566,7131
Idaho,0,4,236440,403012,19002
Illinois,21,0,3419348,2031179,79652
Indiana,11,0,1374039,1345648,36971
Iowa,7,0,828940,682379,25804
Kansas,0,6,514765,699655,24453
Kentucky,0,8,751985,1048462,27140
Louisiana,0,9,782989,1148275,29497
Maine,4,0,421923,295273,13967
Maryland,10,0,1629467,959862,42267
Massachusetts,12,0,1904098,1108854,68117
Michigan,17,0,2872579,2048639,89388
Minnesota,10,0,1573354,1275409,61606
Mississippi,0,6,554662,724597,10680
Missouri,0,11,1441911,1445814,41386
Montana,0,3,232159,243882,16709
Nebraska,1,4,333319,452979,14983
Nevada,5,0,533736,412827,21285
New Hampshire,4,0,384826,316534,9610
New Jersey,15,0,2215422,1613207,48778
New Mexico,5,0,472422,346832,10904
New York,31,0,4804945,2752771,83232
North Carolina,15,0,2142651,2128474,39664
North Dakota,0,3,141403,168887,7448
Ohio,20,0,2940044,2677820,103967
Oklahoma,0,7,502496,960165,0
Oregon,7,0,1037291,738475,52098
Pennsylvania,21,0,3276363,2655885,83228
Rhode Island,4,0,296571,165391,9804
South Carolina,0,8,862449,1034896,23624
South Dakota,0,3,170924,203054,7997
Tennessee,0,11,1087437,1479178,35367
Texas,0,34,3528633,4479328,79830
Utah,0,5,327670,596030,35296
Vermont,3,0,219262,98974,6810
Virginia,13,0,1959532,1725005,38723
Washington,11,0,1750848,1229216,73197
West Virginia,0,5,303857,397466,13800
Wisconsin,10,0,1677211,1262393,43813
Wyoming,0,3,82868,164958,6832
