State,EV-Obama,EV-Romney,Obama,Romney,Other
Alabama,0,9,795696,1255925,22717
Alaska,0,3,122640,164676,13179
Arizona,0,11,1025232,1233654,47673
Arkansas,0,6,394409,647744,27315
California,55,0,7854285,4839958,361572
Colorado,9,0,1323102,1185243,63501
Connecticut,7,0,905109,634899,18985
Delaware,3,0,242584,165484,5853
D. C.,3,0,267070,21381,5313
Florida,29,0,4237756,4163447,90972
Georgia,0,16,1773827,2078688,55854
Hawaii,4,0,306658,121015,7024
Idaho,0,4,212787,420911,23044
Illinois,20,0,3019512,2135216,96704
Indiana,0,11,1154275,1422872,55996
Iowa,6,0,822544,730617,29019
Kansas,0,6,439908,689809,27815
Kentucky,0,8,679370,1087190,31488
Louisiana,0,8,809141,1152262,32662
Maine,4,0,401306,292276,19598
Maryland,10,0,1677844,971869,57614
Massachusetts,11,0,1921761,1188460,57546
Michigan,16,0,2564569,2115256,65491
Minnesota,10,0,1546167,1320225,70169
Mississippi,0,6,562949,710746,11889
Missouri,0,10,1223796,1482440,57453
Montana,0,3,201839,267928,14717
Nebraska,0,5,302081,475064,17234
Nevada,6,0,531373,463567,19978
New Hampshire,4,0,369561,329918,11493
New Jersey,14,0,2126610,1478749,45781
New Mexico,5,0,415335,335788,32634
New York,29,0,4485877,2490496,105163
North Carolina,0,15,2178391,2270395,56586
North Dakota,0,3,124827,188163,9637
Ohio,18,0,2827709,2661437,101788
Oklahoma,0,7,443547,891325,0
Oregon,7,0,970488,754175,64607
Pennsylvania,20,0,2990274,2680434,84912
Rhode Island,4,0,279677,157204,9168
South Carolina,0,9,865941,1071645,26532
South Dakota,0,3,145039,210610,8166
Tennessee,0,11,960709,1462330,37865
Texas,0,38,3308124,4569843,121690
Utah,0,6,251813,740600,28448
Vermont,3,0,199239,92698,7353
Virginia,13,0,1971820,1822522,60147
Washington,12,0,1755396,1290670,99892
West Virginia,0,5,238269,417655,16195
Wisconsin,10,0,1620985,1407966,39483
Wyoming,0,3,69286,170962,8813
