State,EV-Clinton,EV-Trump,EV,Clinton,Trump,Johnson,Other
Alabama,9,0,0,729547,1318255,44467,31103
Alaska,3,0,0,116454,163387,18725,20042
Arizona,11,0,0,1161167,1252401,106327,84762
Arkansas,6,0,0,380494,684872,29949,35361
California,0,55,0,8753792,4483814,478500,527343
Colorado,0,9,0,1338870,1202484,144121,94772
Connecticut,0,7,0,897572,673215,48676,25457
Delaware,0,3,0,235603,185127,14757,8327
D. C.,0,3,0,282830,12723,4906,10809
Florida,29,0,0,4504975,4617886,207043,172843
Georgia,16,0,0,1877963,2089104,125306,54452
Hawaii,0,3,1,266891,128847,15954,17245
Idaho,4,0,0,189765,409055,28331,63282
Illinois,0,20,0,3090729,2146015,209596,148939
Indiana,11,0,0,1033126,1557286,133993,35970
Iowa,6,0,0,653669,800983,59186,52193
Kansas,6,0,0,427005,671018,55406,44141
Kentucky,8,0,0,628854,1202971,53752,38573
Louisiana,8,0,0,780154,1178638,37978,32262
Maine,1,3,0,357735,335593,38105,16494
Maryland,0,10,0,1677928,943169,79605,80744
Massachusetts,0,11,0,1995196,1090893,138018,100939
Michigan,16,0,0,2268839,2279543,172136,104024
Minnesota,0,10,0,1367825,1323232,112984,141192
Mississippi,6,0,0,485131,700714,14435,10808
Missouri,10,0,0,1071068,1594511,97359,65328
Montana,3,0,0,177709,279240,28037,16836
Nebraska,5,0,0,284494,495961,38946,24831
Nevada,0,6,0,539260,512058,37384,36683
New Hampshire,0,4,0,348526,345790,30777,19203
New Jersey,0,14,0,2148278,1601933,72477,84035
New Mexico,0,5,0,385234,319667,74541,18877
New York,0,29,0,4556142,2819557,176600,169496
North Carolina,15,0,0,2189316,2362631,130126,59491
North Dakota,3,0,0,93758,216794,21434,12374
Ohio,18,0,0,2394169,2841006,174498,126874
Oklahoma,7,0,0,420375,949136,83481,0
Oregon,0,7,0,1002106,782403,94231,122596
Pennsylvania,20,0,0,2926458,2970742,146719,123019
Rhode Island,0,4,0,252525,180543,14746,16330
South Carolina,9,0,0,855373,1155389,49204,43061
South Dakota,3,0,0,117466,227731,20850,4064
Tennessee,11,0,0,870695,1522925,70397,44010
Texas,36,0,2,3877868,4685047,283492,147448
Utah,6,0,0,310676,515231,39608,278217
Vermont,0,3,0,178573,95369,10078,31047
Virginia,0,13,0,1981473,1769443,118274,113562
Washington,0,8,4,1742718,1221747,160879,191652
West Virginia,5,0,0,188794,489371,23004,20092
Wisconsin,10,0,0,1382536,1405284,106674,81656
Wyoming,3,0,0,55973,174419,13287,12170
