State,EV-Biden,EV-Trump,Biden,Trump,Other
Alabama,0,9,849624,1441170,32488
Alaska,0,3,153778,189951,15801
Arizona,11,0,1672143,1661686,63559
Arkansas,0,6,423932,760647,34490
California,55,0,11110639,6006518,395108
Colorado,9,0,1804352,1364607,88021
Connecticut,7,0,1080831,715311,28314
Delaware,3,0,296268,200603,7475
D. C.,3,0,317323,18586,8447
Florida,0,29,5297045,5668731,125982
Georgia,16,0,2473633,2461854,64473
Hawaii,4,0,366130,196864,11475
Idaho,0,4,287021,554119,29203
Illinois,20,0,3471915,2446891,130694
Indiana,0,11,1242505,1729863,67413
Iowa,0,6,759061,897672,34138
Kansas,0,6,570323,771406,35755
Kentucky,0,8,772474,1326646,38889
Louisiana,0,8,856034,1255776,36252
Maine,3,1,435072,360770,23619
Maryland,10,0,1985023,976414,75593
Massachusetts,11,0,2382202,1167202,81998
Michigan,16,0,2804045,2649864,93277
Minnesota,10,0,1717077,1484065,76029
Mississippi,0,6,539398,756764,18313
Missouri,0,10,1253014,1718736,58998
Montana,0,3,244786,343602,15286
Nebraska,1,4,374583,556846,24954
Nevada,6,0,703486,669890,32000
New Hampshire,4,0,424937,365660,15608
New Jersey,14,0,2608400,1883313,73469
New Mexico,5,0,501614,401894,20457
New York,29,0,5244886,3251997,135372
North Carolina,0,15,2684292,2758775,81737
North Dakota,0,3,114902,235595,11322
Ohio,0,18,2679165,3154834,98447
Oklahoma,0,7,503890,1020280,36529
Oregon,7,0,1340383,958448,75490
Pennsylvania,20,0,3461221,3379055,100173
Rhode Island,4,0,307486,199922,10349
South Carolina,0,9,1091541,1385103,36685
South Dakota,0,3,150471,261043,11095
Tennessee,0,11,1143711,1852475,57665
Texas,0,38,5259126,5890347,175813
Utah,0,6,560282,865140,80560
Vermont,3,0,242820,112704,11904
Virginia,13,0,2413568,1962430,84526
Washington,12,0,2369612,1584651,133368
West Virginia,0,5,235984,545382,13365
Wisconsin,10,0,1630866,1610184,56991
Wyoming,0,3,73491,193559,9715
