State,EV-Trump,EV-Harris,Trump,Harris,Other
Alabama,9,0,1462616,772412,30062
Alaska,3,0,184458,140026,13693
Arizona,11,0,1770242,1582860,47624
Arkansas,6,0,759241,396905,26530
California,0,54,6081697,9276179,531308
Colorado,0,10,1377441,1728159,87145
Connecticut,0,7,736918,992053,30039
Delaware,0,3,214351,289758,8803
D. C.,0,3,21076,294185,10608
Florida,30,0,6110125,4683038,142302
Georgia,16,0,2663117,2548017,63999
Hawaii,0,4,193661,313044,9996
Idaho,4,0,605246,274972,28405
Illinois,0,19,2449181,3062893,140163
Indiana,11,0,1720347,1163673,60853
Iowa,6,0,927019,707278,29209
Kansas,6,0,758802,544853,31790
Kentucky,8,0,1337494,704043,35289
Louisiana,8,0,1208505,766870,31600
Maine,1,3,377977,435652,17746
Maryland,0,10,1035550,1902577,100207
Massachusetts,0,11,1251303,2126518,95847
Michigan,15,0,2816636,2736533,121674
Minnesota,0,10,1519032,1656979,77909
Mississippi,6,0,747744,466668,15172
Missouri,10,0,1751986,1200599,51512
Montana,4,0,352079,231906,20196
Nebraska,4,1,564816,369995,17371
Nevada,6,0,751205,705197,28438
New Hampshire,0,4,395523,418488,12246
New Jersey,0,14,1968215,2220713,99481
New Mexico,0,5,423391,478802,21210
New York,0,28,3579519,4619543,105827
North Carolina,16,0,2898423,2715375,85343
North Dakota,3,0,246505,112327,9323
Ohio,17,0,3180122,2533703,86866
Oklahoma,7,0,1036213,499599,30361
Oregon,0,8,919480,1240600,84413
Pennsylvania,19,0,3543308,3423042,92001
Rhode Island,0,4,214406,285156,13824
South Carolina,9,0,1483747,1028452,35941
South Dakota,3,0,272081,146859,9982
Tennessee,11,0,1966865,1056265,49494
Texas,40,0,6393597,4835250,182952
Utah,6,0,883818,562566,67014
Vermont,0,3,119395,235791,14236
Virginia,0,13,2075085,2335395,95461
Washington,0,12,1530923,2245849,147471
West Virginia,4,0,533556,214309,15977
Wisconsin,10,0,1697626,1668229,57063
Wyoming,3,0,192633,69527,6888
